# kind, long name, terminfo name, termcap name, parameter signature (n/b), introduced version
str	key_sr	kri	kR	-	system-v
str	key_stab	khts	kT	-	system-v
str	key_up	kcuu1	ku	-	system-v
str	keypad_local	rmkx	ke	-	system-v
str	keypad_xmit	smkx	ks	-	system-v
str	lab_f0	lf0	l0	-	system-v
str	lab_f1	lf1	l1	-	system-v
str	lab_f10	lf10	la	-	system-v
str	lab_f2	lf2	l2	-	system-v
str	lab_f3	lf3	l3	-	system-v
str	lab_f4	lf4	l4	-	system-v
str	lab_f5	lf5	l5	-	system-v
str	lab_f6	lf6	l6	-	system-v
str	lab_f7	lf7	l7	-	system-v
str	lab_f8	lf8	l8	-	system-v
str	lab_f9	lf9	l9	-	system-v
str	meta_off	rmm	mo	-	system-v
str	meta_on	smm	mm	-	system-v
str	newline	nel	nw	-	system-v
str	pad_char	pad	pc	-	system-v
str	parm_dch	dch	DC	n	system-v
str	parm_delete_line	dl	DL	n	system-v
str	parm_down_cursor	cud	DO	n	system-v
str	parm_ich	ich	IC	n	system-v
str	parm_index	indn	SF	n	system-v
str	parm_insert_line	il	AL	n	system-v
str	parm_left_cursor	cub	LE	n	system-v
str	parm_right_cursor	cuf	RI	n	system-v
str	parm_rindex	rin	SR	n	system-v
str	parm_up_cursor	cuu	UP	n	system-v
str	pkey_key	pfkey	pk	n,b	system-v
str	pkey_local	pfloc	pl	n,b	system-v
str	pkey_xmit	pfx	px	n,b	system-v
str	print_screen	mc0	ps	-	system-v
str	prtr_off	mc4	pf	-	system-v
str	prtr_on	mc5	po	-	system-v
str	repeat_char	rep	rp	n,n	system-v
str	reset_1string	rs1	r1	-	system-v
str	reset_2string	rs2	r2	-	system-v
str	reset_3string	rs3	r3	-	system-v
str	reset_file	rf	rf	-	system-v
str	restore_cursor	rc	rc	-	system-v
str	row_address	vpa	cv	n	system-v
str	save_cursor	sc	sc	-	system-v
str	scroll_forward	ind	sf	-	system-v
str	scroll_reverse	ri	sr	-	system-v
str	set_attributes	sgr	sa	n,n,n,n,n,n,n,n,n	system-v
str	set_tab	hts	st	-	system-v
str	set_window	wind	wi	n,n	system-v
str	tab	ht	ta	-	system-v
str	to_status_line	tsl	ts	-	system-v
str	underline_char	uc	uc	-	system-v
str	up_half_line	hu	hu	-	system-v
str	init_prog	iprog	iP	-	system-v
str	key_a1	ka1	K1	-	system-v
str	key_a3	ka3	K3	-	system-v
str	key_b2	kb2	K2	-	system-v
str	key_c1	kc1	K4	-	system-v
str	key_c3	kc3	K5	-	system-v
str	prtr_non	mc5p	pO	n	system-v
str	char_padding	rmp	rP	-	system-v
str	acs_chars	acsc	ac	-	system-v
str	plab_norm	pln	pn	n	system-v
str	key_btab	kcbt	kB	-	system-v
str	enter_xon_mode	smxon	SX	-	system-v
str	exit_xon_mode	rmxon	RX	-	system-v
str	enter_am_mode	smam	SA	-	system-v
str	exit_am_mode	rmam	RA	-	system-v
str	xon_character	xonc	XN	-	system-v
str	xoff_character	xoffc	XF	-	system-v
str	ena_acs	enacs	eA	-	system-v
str	label_on	smln	LO	-	system-v
str	label_off	rmln	LF	-	system-v
str	key_beg	kbeg	@1	-	system-v
str	key_cancel	kcan	@2	-	system-v
str	key_close	kclo	@3	-	system-v
str	key_command	kcmd	@4	-	system-v
str	key_copy	kcpy	@5	-	system-v
str	key_create	kcrt	@6	-	system-v
str	key_end	kend	@7	-	system-v
str	key_enter	kent	@8	-	system-v
str	key_exit	kext	@9	-	system-v
str	key_find	kfnd	@0	-	system-v
str	key_help	khlp	%1	-	system-v
str	key_mark	kmrk	%2	-	system-v
str	key_message	kmsg	%3	-	system-v
str	key_move	kmov	%4	-	system-v
str	key_next	knxt	%5	-	system-v
str	key_open	kopn	%6	-	system-v
str	key_options	kopt	%7	-	system-v
str	key_previous	kprv	%8	-	system-v
str	key_print	kprt	%9	-	system-v
str	key_redo	krdo	%0	-	system-v
str	key_reference	kref	&1	-	system-v
str	key_refresh	krfr	&2	-	system-v
str	key_replace	krpl	&3	-	system-v
str	key_restart	krst	&4	-	system-v
str	key_resume	kres	&5	-	system-v
str	key_save	ksav	&6	-	system-v
str	key_suspend	kspd	&7	-	system-v
str	key_undo	kund	&8	-	system-v
str	key_sbeg	kBEG	&9	-	system-v
str	key_scancel	kCAN	&0	-	system-v
str	key_scommand	kCMD	*1	-	system-v
str	key_scopy	kCPY	*2	-	system-v
str	key_screate	kCRT	*3	-	system-v
str	key_sdc	kDC	*4	-	system-v
str	key_sdl	kDL	*5	-	system-v
str	key_select	kslt	*6	-	system-v
str	key_send	kEND	*7	-	system-v
str	key_seol	kEOL	*8	-	system-v
str	key_sexit	kEXT	*9	-	system-v
str	key_sfind	kFND	*0	-	system-v
str	key_shelp	kHLP	#1	-	system-v
str	key_shome	kHOM	#2	-	system-v
str	key_sic	kIC	#3	-	system-v
str	key_sleft	kLFT	#4	-	system-v
str	key_smessage	kMSG	%a	-	system-v
str	key_smove	kMOV	%b	-	system-v
str	key_snext	kNXT	%c	-	system-v
str	key_soptions	kOPT	%d	-	system-v
str	key_sprevious	kPRV	%e	-	system-v
str	key_sprint	kPRT	%f	-	system-v
str	key_sredo	kRDO	%g	-	system-v
str	key_sreplace	kRPL	%h	-	system-v
str	key_sright	kRIT	%i	-	system-v
str	key_srsume	kRES	%j	-	system-v
str	key_ssave	kSAV	!1	-	system-v
str	key_ssuspend	kSPD	!2	-	system-v
str	key_sundo	kUND	!3	-	system-v
str	req_for_input	rfi	RF	-	system-v
str	key_f11	kf11	F1	-	system-v
str	key_f12	kf12	F2	-	system-v
str	key_f13	kf13	F3	-	system-v
str	key_f14	kf14	F4	-	system-v
str	key_f15	kf15	F5	-	system-v
str	key_f16	kf16	F6	-	system-v
str	key_f17	kf17	F7	-	system-v
str	key_f18	kf18	F8	-	system-v
str	key_f19	kf19	F9	-	system-v
str	key_f20	kf20	FA	-	system-v
str	key_f21	kf21	FB	-	system-v
str	key_f22	kf22	FC	-	system-v
str	key_f23	kf23	FD	-	system-v
str	key_f24	kf24	FE	-	system-v
str	key_f25	kf25	FF	-	system-v
str	key_f26	kf26	FG	-	system-v
str	key_f27	kf27	FH	-	system-v
str	key_f28	kf28	FI	-	system-v
str	key_f29	kf29	FJ	-	system-v
str	key_f30	kf30	FK	-	system-v
str	key_f31	kf31	FL	-	system-v
str	key_f32	kf32	FM	-	system-v
str	key_f33	kf33	FN	-	system-v
str	key_f34	kf34	FO	-	system-v
str	key_f35	kf35	FP	-	system-v
str	key_f36	kf36	FQ	-	system-v
str	key_f37	kf37	FR	-	system-v
str	key_f38	kf38	FS	-	system-v
str	key_f39	kf39	FT	-	system-v
str	key_f40	kf40	FU	-	system-v
str	key_f41	kf41	FV	-	system-v
str	key_f42	kf42	FW	-	system-v
str	key_f43	kf43	FX	-	system-v
str	key_f44	kf44	FY	-	system-v
str	key_f45	kf45	FZ	-	system-v
str	key_f46	kf46	Fa	-	system-v
str	key_f47	kf47	Fb	-	system-v
str	key_f48	kf48	Fc	-	system-v
str	key_f49	kf49	Fd	-	system-v
str	key_f50	kf50	Fe	-	system-v
str	key_f51	kf51	Ff	-	system-v
str	key_f52	kf52	Fg	-	system-v
str	key_f53	kf53	Fh	-	system-v
str	key_f54	kf54	Fi	-	system-v
str	key_f55	kf55	Fj	-	system-v
str	key_f56	kf56	Fk	-	system-v
str	key_f57	kf57	Fl	-	system-v
str	key_f58	kf58	Fm	-	system-v
str	key_f59	kf59	Fn	-	system-v
str	key_f60	kf60	Fo	-	system-v
str	key_f61	kf61	Fp	-	system-v
str	key_f62	kf62	Fq	-	system-v
str	key_f63	kf63	Fr	-	system-v
str	clr_bol	el1	cb	-	system-v
str	clear_margins	mgc	MC	-	system-v
str	set_left_margin	smgl	ML	-	system-v
str	set_right_margin	smgr	MR	-	system-v
str	label_format	fln	Lf	-	system-v
